time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202526,Local authority,England,West Midlands,Telford and Wrekin,Primary,96.290546160244,2.3905897263258,1.31886411343023,
202526,Local authority,England,Yorkshire and The Humber,Leeds,Primary,95.9547559800354,2.16726838600175,1.87797563396286,
202526,Local authority,England,South East,Buckinghamshire,Primary,96.7018538653161,2.2240878624809,1.07405827220303,
202526,Local authority,England,North West,Blackpool,Primary,95.575231070032,1.99631176679701,2.42845716317099,
202526,Local authority,England,North East,Newcastle upon Tyne,Primary,95.9570975904438,2.19014293204459,1.85275947751157,
202526,Local authority,England,North West,Rochdale,Primary,95.8988817154074,2.08531438199623,2.01580390259636,
202526,Local authority,England,North East,Hartlepool,Primary,95.9082038872844,2.30739208492702,1.78440402778862,
202526,Local authority,England,South West,Dorset,Primary,96.5568270325325,2.31861482235936,1.12455814510814,
202526,Local authority,England,West Midlands,Solihull,Primary,96.3669950738916,2.65218156228008,0.98082336382829,
202526,Local authority,England,London,Lambeth,Primary,95.2627454526275,2.18816402188164,2.54909052549091,
202526,Local authority,England,East Midlands,North Northamptonshire,Primary,96.1486801793576,2.43431330776878,1.41700651287358,
202526,Local authority,England,East of England,Luton,Primary,95.8856708215267,2.23741088119814,1.87691829727515,
202526,Local authority,England,North East,North Tyneside,Primary,96.4701753785317,2.09957803017983,1.43024659128842,
202526,Local authority,England,North West,Wigan,Primary,96.4394511180424,2.20744027862398,1.35310860333367,
202526,Local authority,England,South West,Devon,Primary,96.648049739491,2.47364985873569,0.878300401773313,
202526,Local authority,England,South West,Swindon,Primary,96.5038363637468,2.50654581462739,0.989617821625792,
202526,Local authority,England,London,Southwark,Primary,95.5644183351748,2.37476083968849,2.06082082513676,
202526,Local authority,England,North West,St. Helens,Primary,96.8257954345697,1.9026811648795,1.2715234005508,
202526,Local authority,England,London,Redbridge,Primary,95.1271777327408,2.51612963203986,2.35669263521931,
202526,Local authority,England,South East,Southampton,Primary,95.6614097623213,2.39191339918713,1.94667683849159,
202526,Local authority,England,London,Kingston upon Thames,Primary,96.519500144151,2.09168000477189,1.38881985107716,
202526,Local authority,England,North West,Blackburn with Darwen,Primary,96.6590306150564,1.91137456801203,1.42959481693157,
202526,Local authority,England,South West,"Bournemouth, Christchurch and Poole",Primary,96.8533862096641,2.00741212850837,1.13920166182754,
