time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202526,Local authority,England,West Midlands,Telford and Wrekin,Primary,95.5395126408411,3.21301641737025,1.24747094178864,
202526,Local authority,England,Yorkshire and The Humber,Leeds,Primary,94.8658301946554,3.29298435405188,1.8411854512927,
202526,Local authority,England,North East,Newcastle upon Tyne,Primary,95.2109974277841,3.05562503011627,1.73337754209967,
202526,Local authority,England,South East,Buckinghamshire,Primary,95.5497501053588,3.44281642388415,1.00743347075705,
202526,Local authority,England,North West,Blackpool,Primary,94.6151754463435,2.92999344603671,2.4548311076198,
202526,Local authority,England,North West,Rochdale,Primary,95.0734546314221,3.02867931092932,1.89786605764856,
202526,Local authority,England,North East,Hartlepool,Primary,95.118921180522,3.23050432879534,1.65057449068263,
202526,Local authority,England,West Midlands,Solihull,Primary,95.4087244275202,3.40841435216808,1.18286122031171,
202526,Local authority,England,South West,Dorset,Primary,95.1694648739684,3.52796325235592,1.30257187367572,
202526,Local authority,England,London,Lambeth,Primary,95.0793489154844,3.11025391499824,1.81039716951734,
202526,Local authority,England,East Midlands,North Northamptonshire,Primary,95.0521947845559,3.59018765500493,1.35761756043919,
202526,Local authority,England,East of England,Luton,Primary,95.7528521283043,3.02358307217319,1.22356479952253,
202526,Local authority,England,North East,North Tyneside,Primary,95.5088637809224,3.01948185181892,1.47165436725873,
202526,Local authority,England,North West,Wigan,Primary,95.2011229487243,3.36857030935343,1.43030674192225,
202526,Local authority,England,South West,Devon,Primary,95.4462246950348,3.55180230971004,1.00197299525513,
202526,Local authority,England,South West,Swindon,Primary,95.8561687820008,3.15603632202152,0.987794895977702,
202526,Local authority,England,London,Southwark,Primary,95.4602103701057,3.22659100121605,1.31319862867821,
202526,Local authority,England,North West,St. Helens,Primary,95.5014112384661,3.01921566823887,1.47937309329504,
202526,Local authority,England,London,Redbridge,Primary,95.0909407990974,3.44487713432605,1.46418206657657,
202526,Local authority,England,South East,Southampton,Primary,95.0653494175567,3.40883057680307,1.52582000564019,
202526,Local authority,England,London,Kingston upon Thames,Primary,96.1850079542779,2.70202651988992,1.11296552583214,
202526,Local authority,England,North West,Blackburn with Darwen,Primary,95.3379541353672,3.17022957910497,1.49181628552781,
202526,Local authority,England,South West,"Bournemouth, Christchurch and Poole",Primary,95.7836242607149,3.19811002555683,1.01826571372822,
202526,Local authority,England,East of England,Essex,Primary,95.2652268193322,3.44976601786647,1.2850071628013,
202526,Local authority,England,South East,West Berkshire,Primary,95.7779028034527,3.42838261428686,0.793714582260444,
202526,Local authority,England,London,Camden,Primary,95.3007023446012,3.57819467151591,1.12110298388292,
202526,Local authority,England,East Midlands,Leicester,Primary,95.2004122931988,3.34582154657008,1.45376616023116,
202526,Local authority,England,West Midlands,Wolverhampton,Primary,94.8965301554995,3.37399843824687,1.72947140625362,
202526,Local authority,England,North East,Middlesbrough,Primary,95.0342941088863,2.95256282700136,2.01314306411231,
202526,Local authority,England,London,Brent,Primary,95.5528414544381,3.18489720214315,1.26226134341876,
202526,Local authority,England,London,Bexley,Primary,95.6941640455503,2.96797040058151,1.33786555386819,
202526,Local authority,England,Yorkshire and The Humber,East Riding of Yorkshire,Primary,95.5990015522001,3.10951220847193,1.29148623932798,
202526,Local authority,England,London,Harrow,Primary,95.8743757678301,3.2865151982692,0.839109033900675,
202526,Local authority,England,London,Islington,Primary,94.7468686606284,3.38166699931042,1.87146434006119,
202526,Local authority,England,North West,Manchester,Primary,94.8890364494718,3.31441203965404,1.79655151087417,
202526,Local authority,England,North West,Lancashire,Primary,95.0885008213835,3.58019219929788,1.33130697931864,
202526,Local authority,England,East Midlands,Derby,Primary,94.8014612369224,3.33431028256512,1.86422848051248,
202526,Local authority,England,North West,Westmorland and Furness,Primary,95.9248776867919,3.03759567179505,1.03752664141305,
202526,Local authority,England,Yorkshire and The Humber,North Yorkshire,Primary,95.4461498216885,3.40341281002715,1.1504373682843,
202526,Local authority,England,East of England,Central Bedfordshire,Primary,95.634524619859,3.25725825959283,1.10821712054815,
202526,Local authority,England,East Midlands,Rutland,Primary,96.1198248892324,3.13907754527312,0.741097565494497,
202526,Local authority,England,North West,Liverpool,Primary,94.8846712499406,2.7958654260336,2.31946332402579,
202526,Local authority,England,North East,Northumberland,Primary,95.0364638577435,3.31969174066429,1.64384440159222,
202526,Local authority,England,West Midlands,Worcestershire,Primary,95.4126130622934,3.42146257830036,1.16592435940619,
202526,Local authority,England,London,Croydon,Primary,95.2164576114012,3.26931524232515,1.51422714627361,
202526,Local authority,England,North West,Tameside,Primary,95.3458196998759,3.03654555182291,1.6176347483012,
202526,Local authority,England,South West,Cornwall,Primary,95.2225702068981,3.58669948857273,1.19073030452921,
202526,Local authority,England,North West,Halton,Primary,94.9000971181545,3.52113298620013,1.57876989564534,
202526,Local authority,England,West Midlands,Sandwell,Primary,95.0246385282896,3.26000663037409,1.71535484133631,
202526,Local authority,England,North West,Sefton,Primary,95.2481799516283,3.34843519184907,1.40338485652265,
202526,Local authority,England,West Midlands,Staffordshire,Primary,95.7010442598787,3.32826102342699,0.970694716694311,
202526,Local authority,England,London,Bromley,Primary,95.6955549227351,3.19452658941389,1.10991848785106,
202526,Local authority,England,London,Haringey,Primary,95.3357068199634,3.14815782597335,1.51613535406323,
202526,Local authority,England,London,Greenwich,Primary,95.4537031925308,2.81007428850351,1.73622251896568,
202526,Local authority,England,West Midlands,Shropshire,Primary,95.5833288880914,3.49747591083006,0.919195201078497,
202526,Local authority,England,North East,Stockton-on-Tees,Primary,95.2993225696199,3.05150398892274,1.64917344145734,
202526,Local authority,England,East of England,Suffolk,Primary,95.4216949098953,3.38602567128247,1.19227941882222,
202526,Local authority,England,North East,Redcar and Cleveland,Primary,94.9568354349478,3.01666694283151,2.0264976222207,
202526,Local authority,England,London,City of London,Primary,c,c,c,
202526,Local authority,England,West Midlands,Dudley,Primary,95.0245814823319,3.39273495401084,1.58268356365726,
202526,Local authority,England,North West,Cheshire West and Chester,Primary,95.545743545545,3.26843719047608,1.18581926397892,
202526,Local authority,England,North West,Bury,Primary,95.1776444979513,3.5452137929738,1.27714170907487,
202526,Local authority,England,North West,Bolton,Primary,95.0518080559969,3.43806884024327,1.51012310375985,
202526,Local authority,England,North West,Oldham,Primary,95.1704948079137,3.04610463658927,1.78340055549699,
202526,Local authority,England,North West,Trafford,Primary,96.2010223219547,2.88610848238858,0.912869195656676,
202526,Local authority,England,South West,North Somerset,Primary,95.5677269570572,3.38396926034388,1.04830378259889,
202526,Local authority,England,East Midlands,Lincolnshire,Primary,95.6249654080019,3.2478876853976,1.12714690660049,
202526,Local authority,England,Yorkshire and The Humber,Calderdale,Primary,95.2808384329282,3.46439298346695,1.25476858360482,
202526,Local authority,England,South East,Oxfordshire,Primary,95.6658899713771,3.37062738988812,0.963482638734759,
202526,Local authority,England,West Midlands,Coventry,Primary,95.0731615199589,3.45662669217608,1.47021178786497,
202526,Local authority,England,North West,Salford,Primary,94.6906174599415,3.32832842687483,1.98105411318364,
202526,Local authority,England,North West,Wirral,Primary,94.7633536804998,3.67794862572008,1.55869769378011,
202526,Local authority,England,Yorkshire and The Humber,York,Primary,95.3380776395388,3.44179253355405,1.2201298269071,
202526,Local authority,England,London,Wandsworth,Primary,95.5824161281073,3.08519163891156,1.33239223298116,
202526,Local authority,England,London,Hillingdon,Primary,94.7009444107112,3.71317779012669,1.58587779916209,
202526,Local authority,England,East of England,Thurrock,Primary,95.5482440381476,2.89473028126774,1.55702568058462,
202526,Local authority,England,South West,Somerset,Primary,95.2892612861313,3.49825519795484,1.21248351591383,
202526,Local authority,England,Yorkshire and The Humber,Rotherham,Primary,94.810594725162,3.30682935880976,1.8825759160282,
202526,Local authority,England,East of England,Southend-on-Sea,Primary,95.1562728736642,3.50615842216633,1.33756870416949,
202526,Local authority,England,Yorkshire and The Humber,Barnsley,Primary,95.0152503270157,3.11955819318746,1.86519147979683,
202526,Local authority,England,North East,Sunderland,Primary,95.0720962278943,3.2391399855437,1.68876378656199,
202526,Local authority,England,London,Barking and Dagenham,Primary,95.5043497233762,3.1056182396744,1.39003203694943,
202526,Local authority,England,London,Tower Hamlets,Primary,94.8998512284817,3.77391768434097,1.32623108717736,
202526,Local authority,England,South East,Brighton and Hove,Primary,95.2251523532857,3.67988994613275,1.09495770058158,
202526,Local authority,England,North West,Stockport,Primary,95.552024783229,3.28316943667724,1.16480578009373,
202526,Local authority,England,West Midlands,Stoke-on-Trent,Primary,95.1664193343227,3.27514290965854,1.5584377560188,
202526,Local authority,England,East of England,Peterborough,Primary,95.5167837162243,3.28782287822878,1.19539340554696,
202526,Local authority,England,North West,Warrington,Primary,95.9431279356511,2.92350243009342,1.13336963425543,
202526,Local authority,England,South West,Plymouth,Primary,95.3015937903875,3.42917573335432,1.26923047625819,
202526,Local authority,England,North East,Darlington,Primary,94.7919245404966,3.72450106509612,1.48357439440724,
202526,Local authority,England,Yorkshire and The Humber,Wakefield,Primary,95.0743811294495,3.48687988682008,1.43873898373039,
202526,Local authority,England,East Midlands,West Northamptonshire,Primary,95.7108429625571,3.13205137907255,1.15710565837031,
202526,Local authority,England,Yorkshire and The Humber,North East Lincolnshire,Primary,95.061788384218,2.96737254885743,1.97083906692458,
202526,Local authority,England,North East,South Tyneside,Primary,95.088164675692,3.65510758038357,1.25672774392439,
202526,Local authority,England,London,Havering,Primary,95.6662161502493,3.30880558252463,1.02497826722609,
202526,Local authority,England,East Midlands,Nottingham,Primary,94.6295196919165,2.97769461651711,2.39278569156635,
202526,Local authority,England,Yorkshire and The Humber,Kirklees,Primary,95.1706948439308,3.52802012557655,1.30128503049263,
202526,Local authority,England,East Midlands,Derbyshire,Primary,95.4647870249301,3.42550418676342,1.1097087883065,
202526,Local authority,England,Yorkshire and The Humber,Doncaster,Primary,95.1433389061517,3.05740958018579,1.79925151366248,
202526,Local authority,England,East of England,Bedford,Primary,95.895177147111,3.15680532239481,0.948017530494148,
202526,Local authority,England,London,Newham,Primary,94.3439322715337,2.94994526934031,2.70612245912602,
202526,Local authority,England,North East,Gateshead,Primary,95.4892684635507,3.1636895717074,1.3470419647419,
202526,Local authority,England,London,Richmond upon Thames,Primary,96.4320595896343,2.60830979788066,0.959630612484988,
202526,Local authority,England,South West,"Bristol, City of",Primary,95.0119788923655,3.43017500689671,1.55784610073776,
202526,Local authority,England,South West,Torbay,Primary,95.1025925032351,3.69478319040204,1.20262430636282,
202526,Local authority,England,South East,Hampshire,Primary,95.9870978830998,3.16031367125254,0.852588445647634,
202526,Local authority,England,West Midlands,Warwickshire,Primary,95.4872080881628,3.48327524187339,1.02951666996376,
202526,Local authority,England,South East,Windsor and Maidenhead,Primary,95.9874075802792,3.03166477151412,0.980927648206722,
202526,Local authority,England,South East,Isle of Wight,Primary,94.7136527569906,3.92944504150486,1.35690220150459,
202526,Local authority,England,North West,Cumberland,Primary,95.5784829837047,3.30267676328366,1.11884025301165,
202526,Local authority,England,South West,Bath and North East Somerset,Primary,95.8285257331021,3.2927783800687,0.878695886829169,
202526,Local authority,England,London,Merton,Primary,96.0311576133928,2.93213473917365,1.03670764743356,
202526,Local authority,England,South East,Reading,Primary,95.3112804812817,3.17117891499521,1.5175406037231,
202526,Local authority,England,London,Ealing,Primary,95.7083888576132,3.05438469596448,1.23722644642234,
202526,Local authority,England,London,Hammersmith and Fulham,Primary,95.7766174563765,3.08606083159382,1.13732171202968,
202526,Local authority,England,London,Lewisham,Primary,95.4418653114773,3.12661327372016,1.43152141480257,
202526,Local authority,England,South East,Bracknell Forest,Primary,96.1413341022635,3.02004087693603,0.838625020800492,
202526,Local authority,England,East of England,Cambridgeshire,Primary,95.6178752494517,3.49505748719589,0.88706726335241,
202526,Local authority,England,Yorkshire and The Humber,"Kingston upon Hull, City of",Primary,95.033921230606,3.08065243336428,1.8854263360297,
202526,Local authority,England,West Midlands,"Herefordshire, County of",Primary,95.9192415437511,3.37908786614051,0.701670590108378,
202526,Local authority,England,South East,Medway,Primary,94.773323489216,3.68712593663111,1.53955057415291,
202526,Local authority,England,London,Sutton,Primary,95.7186772147813,3.15932633389167,1.12199645132706,
202526,Local authority,England,North West,Cheshire East,Primary,95.8831595877519,3.22952196633266,0.887318445915429,
