time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202526,Local authority,England,London,Tower Hamlets,Primary,94.0104161296376,4.37483631354386,1.61474755681853,
202526,Local authority,England,West Midlands,Walsall,Primary,94.5591774278927,3.34367668300079,2.09714588910655,
202526,Local authority,England,London,Bexley,Primary,95.2433975646243,3.43289396386436,1.3237084715113,
202526,Local authority,England,West Midlands,Warwickshire,Primary,94.9569237481837,3.94946691999066,1.09360933182562,
202526,Local authority,England,South East,Bracknell Forest,Primary,95.6279918852489,3.49872813581049,0.873279978940562,
202526,Local authority,England,South West,Cornwall,Primary,94.566403364415,4.18108281997939,1.25251381560562,
202526,Local authority,England,South East,Hampshire,Primary,95.4692555420884,3.64202416414185,0.888720293769734,
202526,Local authority,England,North East,Darlington,Primary,94.3361936447875,4.2947670543719,1.36903930084063,
202526,Local authority,England,South East,Slough,Primary,94.4274623256617,4.25565870719807,1.3168789671402,
202526,Local authority,England,North West,Stockport,Primary,95.2183794030023,3.59686520163194,1.18475539536574,
202526,Local authority,England,North West,Sefton,Primary,94.8634417579323,3.73619369146398,1.40036455060376,
202526,Local authority,England,London,Barnet,Primary,95.3727790853551,3.57995231593333,1.04726859871154,
202526,Local authority,England,North West,Wirral,Primary,94.6249412412148,3.93331881083684,1.44173994794832,
202526,Local authority,England,East of England,Southend-on-Sea,Primary,94.791164388771,3.83907071605106,1.36976489517791,
202526,Local authority,England,South East,Buckinghamshire,Primary,95.0345987375273,3.92695196415929,1.03844929831343,
202526,Local authority,England,North East,Sunderland,Primary,94.7309890644339,3.77613079436321,1.49288014120287,
202526,Local authority,England,London,Sutton,Primary,95.2087821830463,3.5771705050114,1.21404731194234,
202526,Local authority,England,West Midlands,Wolverhampton,Primary,94.522784561957,3.55243473534858,1.92478070269442,
202526,Local authority,England,London,Redbridge,Primary,94.6585959813853,3.72237921307658,1.61902480553816,
202526,Local authority,England,London,Greenwich,Primary,95.029530245303,3.1796248750758,1.7908448796212,
202526,Local authority,England,Yorkshire and The Humber,Wakefield,Primary,94.7900681274833,3.84400762097098,1.36592425154574,
202526,Local authority,England,South East,West Berkshire,Primary,95.2612388242888,3.89201669049446,0.846744485216773,
202526,Local authority,England,South West,Gloucestershire,Primary,95.0775536408806,3.97634544168822,0.946100917431193,
202526,Local authority,England,South West,Swindon,Primary,95.3100868712137,3.58302500293061,1.10688812585571,
202526,Local authority,England,West Midlands,Stoke-on-Trent,Primary,94.9691505690205,3.3631679749401,1.66768145603937,
202526,Local authority,England,East of England,Central Bedfordshire,Primary,95.1772617344362,3.6924643015008,1.13027396406304,
202526,Local authority,England,Yorkshire and The Humber,Leeds,Primary,94.6489892028261,3.48395739525268,1.86705340192116,
202526,Local authority,England,North East,Hartlepool,Primary,94.8752817998432,3.62237857594923,1.50233962420759,
202526,Local authority,England,West Midlands,Sandwell,Primary,94.6441775582452,3.46569071159131,1.89013173016351,
202526,Local authority,England,North West,Wigan,Primary,94.9513067593627,3.73899494273051,1.30969829790679,
202526,Local authority,England,South East,Southampton,Primary,94.3850661807135,3.94317617660197,1.67175764268458,
202526,Local authority,England,London,Croydon,Primary,94.6653185561346,3.77212669493653,1.56255474892886,
202526,Local authority,England,North West,Westmorland and Furness,Primary,95.4126274176465,3.57140447808518,1.01596810426828,
202526,Local authority,England,North West,Tameside,Primary,95.0440576008047,3.26458604936392,1.69135634983136,
202526,Local authority,England,North West,Rochdale,Primary,94.6912677735934,3.36096056488109,1.94777166152549,
202526,Local authority,England,North West,Warrington,Primary,95.6563038560332,3.22316170101182,1.12053444295494,
202526,Local authority,England,North East,Redcar and Cleveland,Primary,94.575164242986,3.55785346823703,1.86698228877701,
202526,Local authority,England,East Midlands,Derbyshire,Primary,95.0373649858295,3.91086459120705,1.05177042296344,
202526,Local authority,England,South West,Wiltshire,Primary,95.3411324358461,3.72134253411786,0.937525030036043,
202526,Local authority,England,West Midlands,"Herefordshire, County of",Primary,95.3715136368781,3.87925747625763,0.749228886864243,
202526,Local authority,England,West Midlands,Shropshire,Primary,95.1167494754342,3.9767501534491,0.906500371116677,
202526,Local authority,England,South West,"Bournemouth, Christchurch and Poole",Primary,95.3035864933786,3.62972228320192,1.06669122341946,
202526,Local authority,England,South East,Milton Keynes,Primary,95.4311990256973,3.51444918312279,1.05435179117995,
202526,Local authority,England,East of England,Essex,Primary,94.6911898539079,3.97637162120937,1.33243852488274,
202526,Local authority,England,North East,Stockton-on-Tees,Primary,94.9783302919708,3.46386592958351,1.55780377844568,
202526,Local authority,England,London,Lewisham,Primary,94.9512956453307,3.46707365552625,1.58163069914307,
202526,Local authority,England,London,Kingston upon Thames,Primary,95.4906971489272,3.18069684609238,1.32860600498047,
202526,Local authority,England,South East,Portsmouth,Primary,94.9891990266972,3.61364396675216,1.39715700655064,
202526,Local authority,England,East Midlands,North Northamptonshire,Primary,94.6999783594514,3.9882743481488,1.31174729239982,
202526,Local authority,England,London,Richmond upon Thames,Primary,95.8496748036967,2.9583976889552,1.19192750734807,
202526,Local authority,England,North West,Cheshire East,Primary,95.4052586292932,3.72949293627324,0.865248434433592,
202526,Local authority,England,Yorkshire and The Humber,Bradford,Primary,94.2305465608867,3.77178625580547,1.99766718330783,
202526,Local authority,England,London,Newham,Primary,94.0350446039064,3.31900120615801,2.64595418993557,
202526,Local authority,England,East Midlands,West Northamptonshire,Primary,95.1955067198207,3.65016153004404,1.15433175013527,
202526,Local authority,England,North East,North Tyneside,Primary,95.0439619860878,3.55114546525784,1.40489254865434,
202526,Local authority,England,East of England,Peterborough,Primary,95.0366802184848,3.81171089956442,1.15160888195082,
202526,Local authority,England,London,Havering,Primary,95.0268712516551,3.93704347296715,1.03608527537773,
202526,Local authority,England,North West,Cheshire West and Chester,Primary,95.161730417757,3.72432062818207,1.11394895406095,
202526,Local authority,England,London,Brent,Primary,95.0647481783669,3.51691039482519,1.41834142680791,
202526,Local authority,England,London,Hounslow,Primary,94.6312272840191,3.64213943877393,1.72663327720701,
202526,Local authority,England,London,Hackney,Primary,94.6755905230244,3.81713269637912,1.50727678059647,
202526,Local authority,England,London,Southwark,Primary,94.9659715087658,3.66092581782899,1.37310267340524,
202526,Local authority,England,West Midlands,Coventry,Primary,94.4663791585528,3.95091851530498,1.58270232614226,
202526,Local authority,England,North West,Knowsley,Primary,93.5712764632378,3.55552609057268,2.87319744618958,
202526,Local authority,England,Yorkshire and The Humber,North East Lincolnshire,Primary,94.7513932975925,3.35540078152785,1.89320592087969,
202526,Local authority,England,South West,Devon,Primary,94.8587289126924,4.1166029073898,1.02466817991775,
202526,Local authority,England,Yorkshire and The Humber,"Kingston upon Hull, City of",Primary,94.6625525911296,3.54582917022291,1.79161823864745,
202526,Local authority,England,Yorkshire and The Humber,Barnsley,Primary,94.7914137044884,3.48983669399343,1.71874960151816,
202526,Local authority,England,South West,Somerset,Primary,94.6761417722325,4.09944586227421,1.22441236549329,
202526,Local authority,England,East of England,Norfolk,Primary,94.6932733955921,4.02774171713208,1.27898488727577,
202526,Local authority,England,Yorkshire and The Humber,Sheffield,Primary,94.4342948442279,3.62529609793265,1.9404090578394,
202526,Local authority,England,Yorkshire and The Humber,Rotherham,Primary,94.6060790273556,3.59773860182371,1.79618237082067,
202526,Local authority,England,East Midlands,Derby,Primary,94.4958176527198,3.6598169409937,1.84436540628653,
202526,Local authority,England,East of England,Hertfordshire,Primary,95.1215593978484,3.89867279810888,0.979767804042761,
202526,Local authority,England,South East,Wokingham,Primary,95.7298358730733,3.4190454539759,0.85111867295083,
202526,Local authority,England,London,Wandsworth,Primary,94.9255426454946,3.61896633621812,1.45549101828725,
202526,Local authority,England,North West,Cumberland,Primary,95.1500194568499,3.80124372555112,1.04873681759897,
202526,Local authority,England,North West,Manchester,Primary,94.4783524145036,3.58520815754129,1.93643942795508,
202526,Local authority,England,North West,Bury,Primary,94.9699955612559,3.80999792952031,1.22000650922379,
202526,Local authority,England,South East,Oxfordshire,Primary,95.1280437137522,3.86891768771366,1.00303859853415,
202526,Local authority,England,London,Kensington and Chelsea,Primary,94.3053269931901,4.35024139216453,1.34443161464537,
