time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202425,Local authority,England,East of England,Suffolk,Primary,94.8061594512442,3.90188338417396,1.29195716458181,12.453793525988
202425,Local authority,England,North West,Warrington,Primary,95.6578082240628,3.00674853300275,1.33544324293445,9.09435871490008
202425,Local authority,England,London,Bexley,Primary,95.0949605682373,3.43662989726473,1.46840953449798,12.2748815165877
202425,Local authority,England,South West,Swindon,Primary,95.1543620027848,3.6555868078376,1.1900511893776,11.2665112665113
202425,Local authority,England,West Midlands,Coventry,Primary,94.3253686327343,3.95336183074061,1.72126953652507,16.4974100327154
202425,Local authority,England,London,Redbridge,Primary,94.2363334154149,4.15907654334393,1.60459004124115,17.0681515555018
202425,Local authority,England,South West,Devon,Primary,94.9400258313363,3.98224576243037,1.07772840623336,11.4575553895942
202425,Local authority,England,North East,Gateshead,Primary,95.3376042626813,3.25887128499703,1.40352445232167,10.5377008652658
202425,Local authority,England,London,Lewisham,Primary,94.7612999829057,3.52779285251343,1.71090716458087,14.8267313676882
202425,Local authority,England,North West,Lancashire,Primary,94.8967422953816,3.71198716393471,1.3912705406837,12.6955378155138
202425,Local authority,England,North West,Salford,Primary,94.4044061682476,3.52370305304123,2.0718907787112,16.1504314429647
202425,Local authority,England,Yorkshire and The Humber,Wakefield,Primary,94.6205130044504,3.72992126474689,1.64956573080271,13.9009029516655
202425,Local authority,England,East of England,Luton,Primary,94.5873084935562,3.9507840179605,1.4619074884833,15.9954783100184
202425,Local authority,England,South West,Wiltshire,Primary,95.20427206121,3.76685794783617,1.02886999095385,10.6270528515975
202425,Local authority,England,London,Ealing,Primary,94.5948741100406,3.91151424971611,1.49361164024333,14.7112937952633
202425,Local authority,England,London,Hillingdon,Primary,94.0103710700921,4.32198451800955,1.66764441189831,17.8521732012769
202425,Local authority,England,London,Tower Hamlets,Primary,93.8082504676694,4.58175226368785,1.60999726864277,18.7985685071575
202425,Local authority,England,North East,North Tyneside,Primary,95.16325624714,3.16630575250216,1.67043800035785,11.3477985429205
202425,Local authority,England,North West,Bury,Primary,94.9003839992727,3.7338006385859,1.36581536214144,12.2953133822699
202425,Local authority,England,South East,Oxfordshire,Primary,94.8871133048762,3.97730440535328,1.13558228977054,12.3578065531245
202425,Local authority,England,South East,Milton Keynes,Primary,95.0736620862123,3.74951583136041,1.17682208242734,12.4984423676012
202425,Local authority,England,North West,Wirral,Primary,94.3184649172432,3.90182223020891,1.7797128525479,14.6707004887131
202425,Local authority,England,East Midlands,Nottinghamshire,Primary,95.1236143732685,3.36907287124017,1.5073127554913,11.6436616140232
202425,Local authority,England,London,Haringey,Primary,94.512215553384,3.65707552943638,1.83070891717959,15.7768970742511
202425,Local authority,England,London,Waltham Forest,Primary,94.683923769707,3.61594557029831,1.70013065999469,15.2788122548289
202425,Local authority,England,East Midlands,Leicester,Primary,94.2613467699264,3.82534581318636,1.91330741688727,16.9763144632958
202425,Local authority,England,South West,Bath and North East Somerset,Primary,95.1906172219106,3.64912350533186,1.16025927275758,10.3925692253768
202425,Local authority,England,South East,Slough,Primary,94.2774179657493,4.40844878251913,1.31413325173154,16.5314536507514
202425,Local authority,England,South East,Buckinghamshire,Primary,94.9016655303142,3.95619386921339,1.14214060047241,12.2604485219164
202425,Local authority,England,South East,Portsmouth,Primary,94.8160898735302,3.51473931982967,1.66917080664008,13.1742667669379
202425,Local authority,England,North East,Newcastle upon Tyne,Primary,94.5988010310068,3.3138450838404,2.0873538851528,14.8721187243448
202425,Local authority,England,London,City of London,Primary,c,c,c,c
